person_tmdbId,bio,born,bornIn,died,person_imdbId,name,person_poster,person_url
2413,"After studying at the Faculty of Arts of Poitiers, Dominique Pinon moved to Paris where he enrolled at the Cours Simon acting school.  His introducing appearance in cinema took place in 1981 in the movie Diva by Jean-Jacques Beineix. 

Pinon is considered to be a theatre actor in first place, with constant on-stage acting since 1985.  Until today, he has appeared in the plays of Gildas Bourdet, Jorge Lavelli, Valère Novarina and numerous others...",1955-03-04,"Saumur, Maine-et-Loire, France",,684500,Dominique Pinon,https://image.tmdb.org/t/p/w440_and_h660_face/rIPUhNwGSglgKLgMQWz0JNCqIzf.jpg,https://themoviedb.org/person/2413
2419,"From Wikipedia, the free encyclopedia

Jean-Pierre Jeunet is a French film director and screenwriter known for the films Delicatessen, The City of Lost Children, Alien: Resurrection and Amélie. 

Jean-Pierre Jeunet was born in Roanne, Loire, France.  He bought his first camera at the age of 17 and made short films while studying animation at Cinémation Studios.  He befriended Marc Caro, a designer and comic book artist who became his longtime collaborator and co-director...",1953-09-03,"Roanne, Loire, France",,466,Jean-Pierre Jeunet,https://image.tmdb.org/t/p/w440_and_h660_face/u3QmPbF9gdTTLsAHS97ic93gg6S.jpg,https://themoviedb.org/person/2419
2453,"Mary Nell Steenburgen (born February 8, 1953) is an American actress.  She was most successful for playing the role of Lynda Dummar in Jonathan Demme's Melvin and Howard, which earned her an Academy Award and a Golden Globe...",1953-02-08,"Newport, Arkansas, USA",,5460,Mary Steenburgen,https://image.tmdb.org/t/p/w440_and_h660_face/yJhfuqS3yXW7kLSyvRU6n3b35mq.jpg,https://themoviedb.org/person/2453
2461,"An actor, film director, producer and screenwriter.  Born in Peekskill, New York, Gibson moved with his parents to Sydney, Australia when he was 12 years old and later studied acting at the Australian National Institute of Dramatic Art.  After appearing in the Mad Max and Lethal Weapon series, Gibson went on to direct and star in the Academy Award-winning Braveheart...",1956-01-03,"Peekskill, New York, USA",,154,Mel Gibson,https://image.tmdb.org/t/p/w440_and_h660_face/6l9aF05kmPBcdcFpLzYbPlmPtJv.jpg,https://themoviedb.org/person/2461
2714,"An American actor and artist best known to film and television audiences for his roles in science fiction, action, and horror films such as The Terminator, the Alien film franchise, and on television shows such as Millennium.  Henriksen is also a voice actor; he is noted for his deep, commanding voice...",1940-05-05,"New York City, New York, USA",,448,Lance Henriksen,https://image.tmdb.org/t/p/w440_and_h660_face/1PkFmD5HdjmRa2DumtwINnnAjTH.jpg,https://themoviedb.org/person/2714
2876,"Matthew Raymond ""Matt"" Dillon (born February 18, 1964) is an American actor and film director.  He began acting in the late 1970s, gaining fame as a teenage idol during the 1980s. 

Description above from the Wikipedia article Matt Dillon, licensed under CC-BY-SA, full list of contributors on Wikipedia...",1964-02-18,"New Rochelle, New York, USA",,369,Matt Dillon,https://image.tmdb.org/t/p/w440_and_h660_face/wVoSUexYH79igPgxIXKWRlV2uBk.jpg,https://themoviedb.org/person/2876
2963,"An American actor, producer and director.  He has performed in leading roles in a variety of films, ranging from romantic comedies and dramas to science fiction and action movies.  Cage is known for his prolificacy, appearing in at least one film per year, nearly every year since 1980 (with the exception of 1985 and 1991)...",1964-01-07,"Long Beach, California, USA",,115,Nicolas Cage,https://image.tmdb.org/t/p/w440_and_h660_face/ar33qcWbEgREn07ZpXv5Pbj8hbM.jpg,https://themoviedb.org/person/2963
2975,"An American actor of screen and stage, as well as a playwright, director, and producer.  He is perhaps best known for his roles as Morpheus in the Matrix science fiction film trilogy and as singer-musician Ike Turner in the Tina Turner biopic What's Love Got to Do With It.  He became the first African-American to portray Othello in a motion picture by a major studio when he appeared in Oliver Parker's 1995 film adaption of the Shakespeare play...",1961-07-30,"Augusta, Georgia, USA",,401,Laurence Fishburne,https://image.tmdb.org/t/p/w440_and_h660_face/8suOhUmPbfKqDQ17jQ1Gy0mI3P4.jpg,https://themoviedb.org/person/2975
3019,"Olympia Dukakis (born June 20, 1931) is an American actress.  In 1987, she won an Academy Award, BAFTA, and a Golden Globe for her performance in Moonstruck.  She received another Golden Globe nomination for Sinatra, and Emmy nominations for Lucky Day, More Tales of the City, and Joan of Arc...",1931-06-20,"Lowell, Massachusetts, USA",,1156,Olympia Dukakis,https://image.tmdb.org/t/p/w440_and_h660_face/pwoIzB9QSjKkWORQ7SpetnxFizf.jpg,https://themoviedb.org/person/3019
3026,"Robert Norman ""Rob"" Reiner (born March 6, 1947) is an American actor, director, producer, writer, and political activist. 

As an actor, Reiner first came to national prominence as Archie and Edith Bunker's (played by Carroll O'Connor and Jean Stapleton, respectively) son-in-law, Michael ""Meathead"" Stivic, on All in the Family.  That role earned him two Emmy Awards during the 1970s...",1947-03-06,"The Bronx, New York, USA",,1661,Rob Reiner,https://image.tmdb.org/t/p/w440_and_h660_face/axu2DtYr0W0QUcQUqylzYgIU7hB.jpg,https://themoviedb.org/person/3026
3036,"John Paul Cusack (born June 28, 1966 - Height: 6' 2½"" (1,89 m)) is an American film actor and screenwriter.  He has appeared in more than 50 films, including The Journey of Natty Gann, Say Anything. . . , Grosse Point Blank, Con Air, High Fidelity, and 2012. 

Cusack was born in Evanston, Illinois, to a Catholic Irish-American family.  His mother, Ann Paula ""Nancy"" (née Carolan), is a former mathematics teacher and political activist...",1966-06-28,"Evanston, Illinois, USA",,131,John Cusack,https://image.tmdb.org/t/p/w440_and_h660_face/lJ05lxBFZXJAZvmjp1ARxUmwrhA.jpg,https://themoviedb.org/person/3036
3037,"An American actor best known for starring in a number of film, television, and theater roles since the late 1960s, including the films American Graffiti, Jaws, Close Encounters of the Third Kind, The Goodbye Girl, Stakeout, Always, What About Bob? and Mr.  Holland's Opus.  Dreyfuss won the Academy Award for Best Actor in 1977 for The Goodbye Girl, and was nominated in 1995 for Mr.  Holland's Opus...",1947-10-29,"Brooklyn, New York, USA",,377,Richard Dreyfuss,https://image.tmdb.org/t/p/w440_and_h660_face/xUefyViZWFxuuLzNV6YSLiOWGVl.jpg,https://themoviedb.org/person/3037
3047,,1960-09-04,"	Melbourne, Australia",,602104,Jocelyn Moorhouse,,https://themoviedb.org/person/3047
3092,"American film actress Diane Keaton (Born Diane Hall), began her career on stage and got her first major role in the Broadway rock musical ""Hair"" as understudy to the lead.  Keaton made her film debut in the 1972 screen adaptation of Woody Allen’s Broadway play ""Play It Again, Sam"".  That same year Keaton was cast in her first major film role as Kay Adams-Corleone in the Oscar-winning movie “The Godfather”...",1946-01-05,"Los Angeles, California, USA",,473,Diane Keaton,https://image.tmdb.org/t/p/w440_and_h660_face/7gEdH5vGwpUpogscTb2JivnoRBb.jpg,https://themoviedb.org/person/3092
3110,"From Wikipedia, the free encyclopedia

Allison Anders (born November 16, 1954) is an American film and television director.  Anders has directed many independent films, on which she frequently collaborates with fellow UCLA film school graduate Kurt Voss. 

Description above from the Wikipedia article Allison Anders, licensed under CC-BY-SA, full list of contributors on Wikipedia...",1954-11-16,"Ashland, Kentucky, U.S",,25978,Allison Anders,,https://themoviedb.org/person/3110
3111,"Alexandre Rockwell was born in Boston in 1956.  His first film, LENZ, premiered at the Berlin Film Festival in 1982.  After his road movie HERO (1983), he directed the legendary SAM FULLER IN SONS (1989).  In 1992 he won the Grand Jury Prize at the Sundance Film Festival for his film IN THE SOUP, which made his reputation as one of the most interesting filmmakers on America’s independent film scene.  SOMEBODY TO LOVE (1994) competed at the Venice flim Festival...",1956-08-18,"Boston, Massachusetts, USA",,734319, Alexandre Rockwell,,https://themoviedb.org/person/3111
3122,"From Wikipedia, the free encyclopedia. 

Sammi Davis (born Samantha Davis; 21 June 1964) is a British actress. 

She gained considerable praise for her performance in Ken Russell's The Rainbow (1989).  She also had significant roles in Mike Hodges' A Prayer For The Dying and John Boorman's Hope and Glory (both 1987) as well as a leading role in the Emmy Award-winning American television series, Homefront (1991–1993). 

Davis was married to the director Kurt Voss, whom she later divorced...",1964-06-21,"Kidderminster, Worcestershire, England, UK",,205423,Sammi Davis,https://image.tmdb.org/t/p/w440_and_h660_face/6A6nYjHzjNkcsXskdxzHw2P7ROf.jpg,https://themoviedb.org/person/3122
3123,,1972-05-19,,,4866,Amanda De Cadenet,https://image.tmdb.org/t/p/w440_and_h660_face/pLlI568voL7dkFbUDIq4hFI0o0v.jpg,https://themoviedb.org/person/3123
3124,"Valeria Golino is an Italian actress and director.  She is best known to English-language audiences for her roles in Rain Man, Big Top Pee-wee, and the two Hot Shots! movies.  In addition to the awards David di Donatello, Silver Ribbon, Golden Ciak, and Italian Golden Globe, she is also one of the three actresses who has won the Best Actress award at the Venice Film Festival twice...",1965-10-22,"Naples, Campania, Italy",,420,Valeria Golino,https://image.tmdb.org/t/p/w440_and_h660_face/q8YUigxxcdcoc9uOvb70rNF19sE.jpg,https://themoviedb.org/person/3124
3125,"Madonna (born Madonna Louise Ciccone) is a recording artist, actress and entrepreneur.  Born in Bay City, Michigan, she moved to New York City in 1977 to pursue a career in modern dance.  After performing in the music groups Breakfast Club and Emmy, she released her debut album in 1983.  She followed it with a series of albums in which she found immense popularity by pushing the boundaries of lyrical content in mainstream popular music and imagery in her music videos, which became a fixture on MTV...",1958-08-16,"Bay City, Michigan, USA",,187,Madonna,https://image.tmdb.org/t/p/w440_and_h660_face/pI6g1iVlUy7cUAZ6AspVXWq4kli.jpg,https://themoviedb.org/person/3125
3131,"José Antonio Domínguez Bandera (born August 10, 1960), known professionally as Antonio Banderas, is a Spanish actor, producer, director, and singer.  He began his acting career at age 19 with a series of films by director Pedro Almodóvar and then appeared in high-profile Hollywood films, especially in the 1990s, including Assassins, Evita, Interview with the Vampire, Philadelphia, Desperado, The Mask of Zorro, Spy Kids, the Shrek sequels and Puss in Boots...",1960-08-10,"Málaga, Andalucía, Spain",,104,Antonio Banderas,https://image.tmdb.org/t/p/w440_and_h660_face/50GhCzQuaI5Ul01NEyJZloeVP7g.jpg,https://themoviedb.org/person/3131
3151,"John Uhler ""Jack"" Lemmon III (February 8, 1925 – June 27, 2001) was an American actor and musician...",1925-02-08,"Newton, Massachusetts, USA",2001-06-27,493,Jack Lemmon,https://image.tmdb.org/t/p/w440_and_h660_face/4yowflZgO62PGTPADoFzkYSrZv.jpg,https://themoviedb.org/person/3151
3196,"Juliette Lake Lewis is an American actress and singer known for her portrayals of offbeat characters, often in films with dark themes.  She began her career with small film and television roles in the late 1980s...",1973-06-21,"Los Angeles, California, USA",,496,Juliette Lewis,https://image.tmdb.org/t/p/w440_and_h660_face/vvitS2sZSM9RupCf5B0sZYNS6wT.jpg,https://themoviedb.org/person/3196
3223,"Robert John Downey Jr.  (born April 4, 1965) is an American actor and producer.  Downey made his screen debut in 1970, at the age of five, when he appeared in his father's film Pound, and has worked consistently in film and television ever since.  He received two Academy Award nominations for his roles in films Chaplin (1992) and Tropic Thunder (2008). 

Downey Jr.  is most known for his role in the Marvel Cinematic Universe as Tony Stark/Iron Man...",1965-04-04,"Manhattan, New York City, New York, USA",,375,Robert Downey Jr.,https://image.tmdb.org/t/p/w440_and_h660_face/5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg,https://themoviedb.org/person/3223
3224,"Stephen Arthur Frears (born 20 June 1941) is an English director and producer.  He has directed numerous acclaimed films since the early 1980s, including My Beautiful Laundrette (1985), Dangerous Liaisons (1988), The Grifters (1990), High Fidelity (2000), The Queen (2006), Philomena (2013), Florence Foster Jenkins (2016), and Victoria & Abdul (2017).  He has received two nominations for the Academy Award for Best Director...",1941-06-20,"Leicester, England, UK",,1241,Stephen Frears,https://image.tmdb.org/t/p/w440_and_h660_face/mnKF03LVnXPpm4VliNkf6zMmAM.jpg,https://themoviedb.org/person/3224
3392,"Michael Kirk Douglas (born September 25, 1944) is an American actor and producer, primarily in movies and television.  He has won three Golden Globes and two Academy Awards; first as producer of 1975's Best Picture, One Flew Over the Cuckoo's Nest, and as Best Actor in 1987 for his role in Wall Street.  Douglas received the AFI Life Achievement Award in 2009.  He is the eldest of actor Kirk Douglas's four sons.  Douglas has been the announcer for NBC Nightly News since 2007...",1944-09-25,"New Brunswick, New Jersey, USA",,140,Michael Douglas,https://image.tmdb.org/t/p/w440_and_h660_face/4iA9QztvUnhf3YS2U0Z3lieTknc.jpg,https://themoviedb.org/person/3392
3416,"Demi Gene Guynes (born November 11, 1962), professionally known as Demi Moore, is an American actress and film producer.  After making her film debut in 1981, she appeared on the soap opera General Hospital and subsequently gained recognition as a member of the Brat Pack with roles in Blame It on Rio (1984), St.  Elmo's Fire (1985), and About Last Night. . .  (1986).  Her starring role in Ghost (1990), the highest-grossing film of that year, earned her a Golden Globe nomination...",1962-11-11,"Roswell, New Mexico, US",,193,Demi Moore,https://image.tmdb.org/t/p/w440_and_h660_face/lgojmzzzNS6qnho24NdUYDy9nxS.jpg,https://themoviedb.org/person/3416
3547,"Ian McNeice (born 2 October 1950) is a prolific English screen, stage, and television character actor...",1950-10-02,"Basingstoke, Hampshire, England, UK",,573862,Ian McNeice,https://image.tmdb.org/t/p/w440_and_h660_face/mJ1AwYRoWycLvCs5VRGyeM7KxrG.jpg,https://themoviedb.org/person/3547
3829,"Jean-Paul Belmondo (born 9 April 1933) is a French actor initially associated with the New Wave of the 1960s. 

Born in Neuilly-sur-Seine, Hauts-de-Seine, west of Paris, Belmondo did not perform well in school, but developed a passion for boxing and football.  Belmondo made his amateur boxing debut on 10 May 1949 in Paris, France, when he knocked out Rene DesMarais in one round.  Belmondo's boxing career was undefeated, but brief...",1933-04-09,"Neuilly-sur-Seine, Seine [now Hauts-de-Seine], France",,901,Jean-Paul Belmondo,https://image.tmdb.org/t/p/w440_and_h660_face/1XNXClPazdrXenfwTnWkBEBqhBD.jpg,https://themoviedb.org/person/3829
4001,"An English actor, writer and theatre director...",1949-06-13,"Streatham, London, England, UK",,1003,Simon Callow,https://image.tmdb.org/t/p/w440_and_h660_face/arDoYD78OjhczHy07KIOJynwATU.jpg,https://themoviedb.org/person/4001
4003,"Christine Ebersole won the 2007 Tony Award for Best Actress in a Musical for her work in ""Grey Gardens"".  Previously, she was awarded the Drama Desk Award, the Outer Critics Circle Award, the Drama League awarded her both a citation and the Outstanding Performance of the Year, and she was named to its dais for 2007.  She also received a special citation from the New York Drama Critics' Circle and the Obie for her off-Broadway turn in ""Grey Gardens""...",1953-02-21,"Chicago, Illinois, USA",,2056,Christine Ebersole,https://image.tmdb.org/t/p/w440_and_h660_face/zVui49UEgcaSN8oetT39FJT6sWK.jpg,https://themoviedb.org/person/4003
4014,"Paul William Scott Anderson (born 4 March 1965), also known as Paul WS Anderson or Paul Anderson, is an English film director who regularly works in science fiction movies and video game adaptations...",1965-03-04,"Newcastle-upon-Tyne, England, UK",,27271,Paul W.S. Anderson,https://image.tmdb.org/t/p/w440_and_h660_face/AeYYSi30WCkowdk04Awa0kr1E4S.jpg,https://themoviedb.org/person/4014
4038,"An American actress.  She has worked in films and television since 1969, and won an Academy Award for Best Actress for her performance in the 1995 film Dead Man Walking.  She had also been nominated for the award for four films before that and has received other recognition for her work.  She is also noted for her social and political activism for a variety of liberal causes...",1946-10-04,"New York City, New York, USA",,215,Susan Sarandon,https://image.tmdb.org/t/p/w440_and_h660_face/oHYYL8bNakAREaLUBtMul5uMG0A.jpg,https://themoviedb.org/person/4038
4173,"Anthony Hopkins was born on 31 December 1937, in Margam, Glamorgan, Wales.  Influenced by Richard Burton, he decided to study at College of Music and Drama in Cardiff and graduated in 1957.  In 1965, he moved to London and joined the National Theatre, invited by Laurence Olivier, who could see the talent in Hopkins.  In 1967, he made his first film for television, A Flea in Her Ear (1967) (TV). 

From this moment on, he enjoyed a successful career in cinema and television...",1937-12-31,"Margam, Port Talbot, Glamorgan, Wales, UK",,164,Anthony Hopkins,https://image.tmdb.org/t/p/w440_and_h660_face/9ukJS2QWTJ22HcwR1ktMmoJ6RSL.jpg,https://themoviedb.org/person/4173
4275,"From Wikipedia, the free encyclopedia. 

Alain Chabat (born 24 November 1958) is a French actor and director who appeared in La Cité de la peur, French Twist, The Taste of Others and The Science of Sleep...",1958-11-24,"Oran, Oranie, Algérie",,149260,Alain Chabat,https://image.tmdb.org/t/p/w440_and_h660_face/xRjymE6LIJd0useKWN2R1WgKDRy.jpg,https://themoviedb.org/person/4275
4430,"Sharon Vonne Stone (born March 10, 1958) is an American actress, producer, and former fashion model.  She is the recipient of a Primetime Emmy Award and a Golden Globe Award, as well as having received nominations for an Academy Award and two Screen Actors Guild Awards. 

After modelling in television commercials and print advertisements, she made her film debut as an extra in Woody Allen's comedy-drama Stardust Memories (1980)...",1958-03-10,"Meadville, Pennsylvania, USA",,232,Sharon Stone,https://image.tmdb.org/t/p/w440_and_h660_face/iR0lIYGTFFLzViK7s0xIzUfo8FI.jpg,https://themoviedb.org/person/4430
4443,"Christopher McDonald (born February 15, 1955) is an American actor.  He is known for his roles in Happy Gilmore, Requiem for a Dream, and 61...",1955-02-15,"New York City, New York, USA",,1520,Christopher McDonald,https://image.tmdb.org/t/p/w440_and_h660_face/bOKl8EPOKe0oWD15HxUKH1ugesg.jpg,https://themoviedb.org/person/4443
4489,"Steve Oedekerk is an American comedian, director, editor, producer, screenwriter and actor.  Oedekerk is best known for his collaborations with actor Jim Carrey and director Tom Shadyac (particularly the Ace Ventura franchise), his series of ""Thumbmation"" shorts and his film Kung Pow: Enter the Fist (2002)...",1961-11-27,"Los Angeles, California, United States",,644203,Steve Oedekerk,https://image.tmdb.org/t/p/w440_and_h660_face/maHloPSvRLk5EvAbr6yQG6fqsCF.jpg,https://themoviedb.org/person/4489
4512,"James Howard Woods (born April 18, 1947) is an American film, stage and television actor.  Woods is known for starring in critically acclaimed films such as Once Upon a Time in America, Salvador, Nixon, Ghosts of Mississippi, Casino, Hercules, and in the television legal drama Shark.  He has won two Emmy Awards, and has gained two Academy Award nominations...",1947-04-18,"Vernal, Utah, USA",,249,James Woods,https://image.tmdb.org/t/p/w440_and_h660_face/tLH7mpH4KqkWL5VgjueTbewGsfK.jpg,https://themoviedb.org/person/4512
4517,"Joseph Frank “Joe” Pesci (born February 9, 1943) is an American actor, comedian, singer and musician.  He is known for his roles as violent mobsters, funnymen, comic foils and quirky sidekicks.  Pesci has starred in a number of high profile films such as Goodfellas, Casino, Raging Bull, Once Upon a Time in America, My Cousin Vinny, Easy Money, JFK, Moonwalker, Home Alone, Home Alone 2: Lost in New York, and the 2nd, 3rd, and 4th Lethal Weapon films...",1943-02-09,"Newark, New Jersey, USA ",,582,Joe Pesci,https://image.tmdb.org/t/p/w440_and_h660_face/7ecSqd7GXYbK3sJw1lvLWLiJ6fh.jpg,https://themoviedb.org/person/4517
4520,"An American actor, known for playing ""tough guy"" roles...",1955-06-07,"Bedford-Stuyvesant, Brooklyn, New York, USA",,1235,William Forsythe,https://image.tmdb.org/t/p/w440_and_h660_face/g0vIRDw0FemQlX0HGW94b4Kx8nz.jpg,https://themoviedb.org/person/4520
4569,"David Fox (born 1941 in Swastika, Ontario) is a Canadian actor.  He is best known for his role as schoolteacher Clive Pettibone in Road to Avonlea, and for a variety of roles on television.  He also was the voice of Captain Haddock in The Adventures of Tintin. 

In 1996 he was nominated for a Genie Award for the film When Night is Falling, and in 2008 he was nominated for a Gemini Award for the television miniseries Across the River to Motor City...",1941-01-01,"Swastika, Ontario, Canada",,288944,David Fox,https://image.tmdb.org/t/p/w440_and_h660_face/kgdBv3Pk68oolH0DA39rpmUai47.jpg,https://themoviedb.org/person/4569
4690,"Christopher Walken (born Ronald Walken, March 31, 1943) is an American actor...",1943-03-31,"Queens, New York USA",,686,Christopher Walken,https://image.tmdb.org/t/p/w440_and_h660_face/ApgDL7nudR9T2GpjCG4vESgymO2.jpg,https://themoviedb.org/person/4690
4724,"Kevin Norwood Bacon (born July 8, 1958) is an American film and theater actor whose notable roles include Animal House, Diner, Footloose, Flatliners, A Few Good Men, Apollo 13, Mystic River, The Woodsman, Friday the 13th, Hollow Man, Tremors and Frost/Nixon. 

Bacon has won Golden Globe and Screen Actors Guild Awards, was nominated for an Emmy Award, and was named by The Guardian as one of the best actors never to have received an Academy Award nomination...",1958-07-08,"Philadelphia, Pennsylvania, USA",,102,Kevin Bacon,https://image.tmdb.org/t/p/w440_and_h660_face/rjX2Oz3tCZMfSwOoIAyEhdtXnTE.jpg,https://themoviedb.org/person/4724
4757,"Rupert James Hector Everett (born 29 May 1959) is an English actor.  He first came to public attention in 1981, when he was cast in Julian Mitchell's play and subsequent film ""Another Country"" as an openly gay student at an English public school, set in the 1930s.  He has since appeared in many other films including ""My Best Friend's Wedding"", ""An Ideal Husband"", ""The Next Best Thing"" and the ""Shrek"" sequels...",1959-05-29,"Burnham Deepdale, Norfolk, England, UK",,391,Rupert Everett,https://image.tmdb.org/t/p/w440_and_h660_face/7t77pzlJnSLSXTzQLUey3YAzaxQ.jpg,https://themoviedb.org/person/4757
4783,"Nigel John Dermot ""Sam"" Neill (born 14 September 1947) is a New Zealand actor.  He is perhaps best known for his starring role as paleontologist Dr Alan Grant in Jurassic Park and Jurassic Park III...",1947-09-14,"Omagh, County Tyrone, Northern Ireland, UK",,554,Sam Neill,https://image.tmdb.org/t/p/w440_and_h660_face/bNZ03phkLewj8eUR6mGbKZ7jtmv.jpg,https://themoviedb.org/person/4783
4785,"Jeffrey Lynn ""Jeff"" Goldblum (born October 22, 1952) is an American actor.  His career began in the mid-1970s and he has appeared in major box-office successes including The Fly, Jurassic Park and its sequel Jurassic Park: The Lost World, and Independence Day.  He starred as Detective Zach Nichols for the eighth and ninth seasons of the USA Network's crime drama series Law & Order: Criminal Intent...",1952-10-22,"Pittsburgh, Pennsylvania, USA",,156,Jeff Goldblum,https://image.tmdb.org/t/p/w440_and_h660_face/m8p62pvkVtPxkfAIJhb5AgGw8kA.jpg,https://themoviedb.org/person/4785
4945,"Joseph Eggleston ""Joe"" Johnston II  is an American film director and former effects artist best known for such hit movies as Honey I Shrunk the Kids, Jumanji, The Rocketeer,  Jurassic Park III, Hidalgo, The Wolfman, October Sky,  and the upcoming Captain America: The First Avenger...",1950-05-13,"Fort Worth, Texas, USA",,2653,Joe Johnston,https://image.tmdb.org/t/p/w440_and_h660_face/fbGZo6CG9Z9zKFh8D5wHunyu7gJ.jpg,https://themoviedb.org/person/4945
5050,"Yaphet Frederick Kotto (born November 15, 1939) is an American actor known for numerous film roles, as well as starring in the NBC television series Homicide: Life on the Street (1993–99) as Lieutenant Al Giardello.  His films include the science-fiction/horror film Alien (1979), and the Arnold Schwarzenegger science-fiction/action film The Running Man (1987).  He portrayed the main villain Dr.  Kananga/Mr.  Big in the James Bond movie Live and Let Die (1973)...",1937-11-15,"New York City, New York, U.S.",,1433,Yaphet Kotto,https://image.tmdb.org/t/p/w440_and_h660_face/sNMxs1xSF7LAjl7JVNDCf6wnWWY.jpg,https://themoviedb.org/person/5050
5140,"Wesley Earl ""Wes"" Craven (August 2, 1939 – August 30, 2015) was a prolific and influential American film director, writer, producer, and actor known for his pioneering work in the genre of horror films, particularly slasher films.  Due to the success and cultural impact of his works in the horror film genre, Craven has been called the ""Master of Horror"". 

Description above from the Wikipedia article Jeremy Renner, licensed under CC-BY-SA, full list of contributors on Wikipedia...",1939-08-02,"Cleveland, Ohio, USA",2015-08-30,127,Wes Craven,https://image.tmdb.org/t/p/w440_and_h660_face/blQ0LWf54PJLmxMnFFdh7n1as7V.jpg,https://themoviedb.org/person/5140
5168,"An Irish actor, film director, film producer, writer, cultural ambassador and audiobook narrator.  His acting career began in the Focus Theatre before he joined London’s Royal Court Theatre in 1979.  Byrne's screen début came in the Irish soap opera The Riordans and the spin-off show Bracken.  The actor has now starred in over 35 feature films, such as The Usual Suspects, Miller's Crossing and Stigmata, in addition to writing two...",1950-05-12,"Dublin, Ireland ",,321,Gabriel Byrne,https://image.tmdb.org/t/p/w440_and_h660_face/vZ5amSGl8iSSK7C7WLKCN4EewnM.jpg,https://themoviedb.org/person/5168
5174,"From Wikipedia, the free encyclopedia. 

Barry Sonnenfeld (born April 1, 1953) is an American filmmaker and television director.  He worked as cinematographer for the Coen Brothers, then later he directed and produced big budget films such as Men in Black. 

Description above from the Wikipedia article Barry Sonnenfeld, licensed under CC-BY-SA, full list of contributors on Wikipedia...",1953-04-01,"New York City, New York, USA",,1756,Barry Sonnenfeld,https://image.tmdb.org/t/p/w440_and_h660_face/n6y6vaAFfSqsJodgkwTxAey4NoG.jpg,https://themoviedb.org/person/5174
5216,"Gus Green Van Sant, Jr.  (born July 24, 1952) is an American director, screenwriter, painter, photographer, musician, and author.  He was nominated for an Academy Award for Achievement in Directing for his 1997 film Good Will Hunting and his 2008 film Milk, and won the Palme d'Or at the 2003 Cannes Film Festival for his film Elephant.  He lives in Portland, Oregon. 

His early career was devoted to directing television commercials in the Pacific Northwest...",1952-07-24,"Louisville, Kentucky, USA",,1814,Gus Van Sant,https://image.tmdb.org/t/p/w440_and_h660_face/kICHgrSh4eiICjz8piy9fTXIgph.jpg,https://themoviedb.org/person/5216
5418,"Hubert Koundé is a French actor and film director.  Koundé is best known for his role as Hubert in the film La Haine by Mathieu Kassovitz.  He is also the author of a play: ""Cagoule: Valentine and Yamina,"" performed in 2003 (Cagoule: Valentin et Yamina, montée en 2003).  He made two short films: Qui se ressemble s'assemble and Menhir, and co-directed a feature film: Paris, la métisse.  He has also worked on English language films such as The Constant Gardener...",1970-12-30, France,,468003,Hubert Koundé,,https://themoviedb.org/person/5418
5419,"Saïd Taghmaoui (born July 19, 1973) is a French actor and screenwriter of Moroccan background.  One of his defining screen roles was that of Saïd in the award winning 1995 French film La Haine directed by Mathieu Kassovitz. However, Saïd has also appeared in a number of more recent English Language films, with roles such as the U. S...",1973-07-19,"Sevran, France",,846548,Saïd Taghmaoui,https://image.tmdb.org/t/p/w440_and_h660_face/kuxI08YpwQFGweIXK7TELknwexr.jpg,https://themoviedb.org/person/5419
5420,,,,,315760,Abdel Ahmed Ghili,https://image.tmdb.org/t/p/w440_and_h660_face/zCBgVA0B1ywgIQsMCPIhfnE7C60.jpg,https://themoviedb.org/person/5420
5470,"Kristin A.  Scott Thomas, OBE is an English actress who has also acquired French nationality.  She gained international recognition in the 1990s for her roles in Bitter Moon, Four Weddings and a Funeral and The English Patient. 

Since the 1980s, she has also worked in French cinema in films such as the thriller Tell No One and Philippe Claudel's I've Loved You So Long...",1960-05-24,"Redruth, Cornwall, England, UK",,218,Kristin Scott Thomas,https://image.tmdb.org/t/p/w440_and_h660_face/kFy1U9bTI2yIA0LyrgsqU5isFl0.jpg,https://themoviedb.org/person/5470
5501,"Gary Fleder (born December 19, 1965) is an American film director, screenwriter, and producer.  His most recently completed film, The Express, is based on the true story of football player Ernie Davis, and was released by Universal Pictures in October 2008. 

Description above from the Wikipedia article Gary Fleder, licensed under CC-BY-SA, full list of contributors on Wikipedia...",1965-12-19,"Norfolk, Virginia, USA",,1219,Gary Fleder,,https://themoviedb.org/person/5501
5502,"From Wikipedia, the free encyclopedia.   

William G.  ""Bill"" Nunn III (born October 20, 1953) is an American actor. Nunn made his acting debut in the 1988 Spike Lee film School Daze, and is perhaps best known for his roles as Radio Raheem in Lee's Do the Right Thing and as Nino Brown's verbally challenged bodyguard Duh Duh Duh Man in New Jack City...",1953-10-20,"Pittsburgh, Pennsylvania, U.S.",2016-09-24,638056,Bill Nunn,https://image.tmdb.org/t/p/w440_and_h660_face/5dphDw0EDkKvxrolhvOFv6v91yj.jpg,https://themoviedb.org/person/5502
5576,"Val Edward Kilmer (born December 31, 1959) is an American actor.  Originally a stage actor, Kilmer became popular in the mid-1980s after a string of appearances in comedy films, starting with Top Secret! (1984), then the cult classic Real Genius (1985), as well as blockbuster action films, including a role in Top Gun and a lead role in Willow...",1959-12-31,"Los Angeles, California, USA",,174,Val Kilmer,https://image.tmdb.org/t/p/w440_and_h660_face/asscfTVTglxMBEeJiDYxUXM4bm9.jpg,https://themoviedb.org/person/5576
